,prod_name,rating,rating_count,desc,profile,vitolas,Binder,Filler,Flavored,Has Tip,More Details,Origin,Pressed,Profile,Shapes,Sweet,Wrapper,Brand:
176,AVO XO,Rated 4.56 out of 5, Based on 62 Ratings ,"Top of the line from AVO.The XO series from AVO is the cream of the crop from this factory - a factory already known for such legendary brands as Davidoff, the Griffin’s, and the regular AVO line. AVO XO is a masterpiece from the AVO brand, featuring tobaccos that are aged at least six years in each and every stick. Remarkably smooth, yet surprisingly complex, XO is a treat that you should indulge in whenever you can. Starting this party off, you'll find a Connecticut-seed Sun Grown Ecuadorian wrapper leaf that's incredibly smooth — almost no veins are visible on these flawless specimens. Underneath, Dominican binder and long-fillers support a medium-bodied profile with notes of cream, wood, spice, and dried fruits. It's a masterclass in blending, and you should certainly be dipping into these as quickly as you can.",Medium,"['Churchill', 'Corona', 'Lancero/Panatela', 'Robusto', 'Toro']",,,False,No,More Details,Dominican Republic,No,,"Churchill, Corona, Lancero/Panatela, Robusto, Toro",No,Ecuador Connecticut,AVO
177,Baccarat,Rated 4.63 out of 5, Based on 757 Ratings ,"Always a safe betI’ve never had Lady Luck on my side when it comes to playing cards, but at least I know that in the cigar world I can count on a ‘W’ when I go for a few rounds of Baccarat. One of our best-selling Connecticut-wrapped offerings, Baccarat is an extraordinary experience for the money. But don’t just take my word for it – over 600 members of CI Nation have given this handmade a well-deserved 4.5 out of 5 rating. The secret? Havana-seed Honduran long-fillers. Meld those together with a beautiful Mexican binder and you’ve got a recipe for success – a slightly sweet, coffee taste comes through on each puff, staying cool to the end. Baccarat comes in both Connecticut and Maduro wrapper varieties, but whichever one you go for, you’re going to come out on top.NOTE: Baccarat Candela returns after a nearly 5-year hiatus. This unique variation of the legendary, top-selling Baccarat line adds an interesting, but delicious twist to a mellow, slightly sweet iconic blend. Limited to only 700 total boxes, this annual release will be gone as quickly as it came. ",Mellow,"['Belicoso', 'Churchill', 'Cigarillos', 'Double Corona', 'Gordo', 'Lancero/Panatela', 'Lonsdale', 'Petite Corona', 'Presidente', 'Robusto', 'Toro']",Mexican,Honduran,False,No,More Details,Honduras,No,,"Belicoso, Churchill, Cigarillos, Double Corona, Gordo, Lancero/Panatela, Lonsdale, Petite Corona, Presidente, Robusto, Toro",Yes,"Candela, Connecticut, Connecticut Broadleaf, Maduro",Baccarat
178,Baccarat Candela,Rated 4.63 out of 5, Based on 35 Ratings ,"The bestselling Baccarat goes green!Baccarat has built a solid reputation for being one of the world’s highest quality mellow-bodied cigars with a slightly sweet twist. Baccarats are fantastic, and are great for someone looking for the perfect morning smoke or a little change of pace. But today we shine the spotlight on Baccarat Candela which returns after nearly a 5-year hiatus. The Baccarat Candela version combines the rich, mellow earthiness of aged-premium Honduran tobaccos with the unique subtleties of a candela leaf. Add in the trademark naturally sweet pectin used to create the traditional Baccarat blend and you have yourself an interesting new mellow-bodied handmade. Rich, earthy, slightly peppery and pleasantly sweet, the Baccarat Candela is limited to only 700 boxes total, I suggest you pick up this annual release before they’re gone. ",Mellow,"['Churchill', 'Robusto']",Mexican,Honduran,False,No,More Details,Honduras,No,,"Churchill, Robusto",Yes,"Candela, Connecticut",Baccarat
179,Baccarat Nicaragua,Rated 4.4 out of 5, Based on 5 Ratings ,"Are you game?Just like a Las Vegas card shark on a winning streak, Baccarat cigars are the always-satisfying best-selling cigar in their class and price range, with unmatched quality and a delectable slightly-sweet flavor. Their classic Connecticut-wrapped cigar is already one of the most popular in the US, but now they’re pulling out a card hidden up their sleeve and upping the ante with the Baccarat Nicaragua. Coming wrapped in a sultry Habano wrapper and featuring a Sumatra binder over Nicaraguan fillers, the toasty and slightly sweet leather and cedar flavors are always a safe bet. This medium-bodied blend will win the hand every time, and you’ll be taking home the pot. With a buy-in this low, you don’t need to hesitate to step up to the table and lay your cards down.",Medium,"['Churchill', 'Double Corona', 'Petite Corona', 'Presidente', 'Robusto', 'Toro']",Sumatra,Nicaraguan,False,False,More Details,Dominican Republic,No,,"Churchill, Double Corona, Petite Corona, Presidente, Robusto, Toro",No,Habano,Baccarat
180,Backwoods Cigars,Rated 4.5 out of 5, Based on 431 Ratings ,"Relish in the famous taste of Backwoods Cigars for all cigar fans to take pride in. Browse through our selection and choose your favorite Backwoods flavors. Pick up a box of Backwoods in a variety of flavors like Black and Sweet, Honey, Honey Berry, Sweet Aromatic and Backwoods Original Cigars here at Cigars International. The Backwoods Cigarillos line includes:Original: smooth, easy on the palate, and full of complex flavor Sweet Aromatic: mellow and smooth with a fragrant scent and distinct tasteHoney: golden honey sweetens up the natural tobaccos of this classicBlack N’ Sweet Aromatic: dark, short, and tasty – a lusciously fragrant classic cigarHoney Bourbon: delightful sweetness mixes with a smooth kick of the best Kentucky bourbonDark Stout: creamy, dark flavors of stout beer pair with smooth tobaccosRussian Cream: uniquely aromatic and satisfying with smooth flavor of vodka, coffee liqueur, cream, and dark coffee Honey Berry: Flavors of fresh berries are perfectly complimented by a touch of golden honey",Mellow,['Cigarillos'],,Dominican,True,No,More Details,United States,No,,Cigarillos,Varies,"Connecticut Broadleaf, Indonesian",
181,Bahia B-Line,Rated 3.88 out of 5, Based on 100 Ratings ,"Bahia's backyard burner!Amazingly, the original Bahia B-Line received a ‘90’ rating – an exquisite value cigar that’s perfect for everyday enjoyment. Simply a well-made sandwich cigar with mixed filler leaves from other Bahia blends, covered by a nice-looking Indonesian wrapper leaf. The blend is medium in body with some spice and earth. There’s a tendency to burn a little hot if you puff too fast, but take your time, and this sipper won’t disappoint. Save them for the backyard and bbq crowd, and I guarantee you’ll be seeing smiles from ear to ear. Thankfully, my insane-in-the-membrane prices – as low as $40 in a box – get your humidor stocked to the brim while keeping the wallet fat and happy. ",Medium,"['Belicoso', 'Robusto', 'Rothschild']",Habano,Nicaraguan,False,No,More Details,Nicaragua,Yes,,"Belicoso, Robusto, Rothschild",No,Indonesian,Bahia
182,Bahia Blu,Rated 4.11 out of 5, Based on 531 Ratings ,"Don’t be blue, get BahiaMan, I love my job. Not only do I get to chug beer and burn cigars all day long, I also get to deliver unfathomable deals to CI Nation day in and day out. One of my personal favorites? Bahia Blu, a superstar entry in the anthology of competition crushing deals. Yes, truly a champion of the bundled cigar world, Bahia Blu represents entry #12,743 in the CI handbook of MSRP destroying insanity. Bahia Blu is a medium-bodied handmade from Nicaragua that’s priced to move every day. Dressed in a fairly attractive Corojo wrapper that’s smooth and glistening, you’ll find 5 to 6-year-old Nicaraguan long-fillers grown in Esteli, Jalapa, and Leon. The end result is a rich and toasty flavor with a sweet, cedary core and a crisp, lingering aftertaste. But the best attribute by far? The crazy low price. ",Mellow-Medium,"['Churchill', 'Robusto', 'Toro', 'Torpedo']",,Nicaraguan,False,No,More Details,Nicaragua,No,,"Churchill, Robusto, Toro, Torpedo",No,Corojo,Bahia
183,Bahia Brazil,Rated 4.26 out of 5, Based on 283 Ratings ,"Bahia’s fourth winnerBahia has long been among the best-selling bundles in our lineup, and for great reason. The extreme combination of value to flavor is unparalleled by any other brand in the biz, and with Bahia Brazil, the folks behind Bahia add one more thoroughbred, affordable gem to their stable.Ah, Brazil! Country of all things musical and Carnavale. And now, Brazil can add a new trophy to its case – in addition to being the bikini capital of the world, it’s also home to my new favorite Bahia cigar! Starting off with Nicaraguan long-fillers, these tobaccos are finished with a fine Brazilian maduro wrapper. Easily the richest of the Bahia bundled products, you’ll find notes of dark chocolate, earth, and spice. Get aboard this Bahia Brazil today, and never look back. ",Medium-Full,"['Gordo', 'Robusto', 'Toro', 'Torpedo']",,Nicaraguan,False,No,More Details,Nicaragua,No,,"Gordo, Robusto, Toro, Torpedo",No,"Brazilian, Maduro",Bahia
184,Bahia Connecticut Deluxe,Rated 4.16 out of 5, Based on 186 Ratings ,"A Deluxe blend at a value priceStarting under $1.50 per stick, how could you go wrong? Well, there are a few ways you could, but luckily with Bahia Connecticut Deluxe, that isn’t the case. Here, Bahia delivers in spades. At hand, boxes of 40 ‘Cuban sandwich’ style, Ecuador-grown Connecticut wrapped stogies that are equipped with all the quality and flavor you would expect from blends boasting price tags five times steeper. Fancy bands and boxes were bypassed with the main focus being to deliver an affordable, tasty blend that you will be able to partake in every day. Enjoyable notes of cream, cedar, and a slight spice entertain the palate while you are knee deep in that honey-do day. But whether you are kickin’ around a cigar while doing some yard work, or enjoying it with a cocktail as the day is winding down, at these tasty prices, you simply can’t go wrong. ",Mellow,"['Churchill', 'Robusto', 'Torpedo']",,,False,No,More Details,Dominican Republic,No,,"Churchill, Robusto, Torpedo",No,Ecuador Connecticut,Bahia
185,Bahia Gold,Rated 4.5 out of 5, Based on 14 Ratings ,"The gold standard of Bahia.Bahia has been churning out delectable handmades for years, but none have withstood the test of time like the brand’s flagship, Bahia Gold. A full-bodied, full-flavored handmade, Gold has been the veritable poster-child of Bahia, proving time and time again to be one of the most impressive and well-rounded blends in its portfolio.Using the same recipe as the original Costa Rican versions blended by Don Douglas way back in the 1980's, and hand-crafted in small, yearly allotments, Gold is a complex and impressive box-pressed creation. No doubt a full-bodied offering, Bahia Gold is enticingly smooth. Puff after puff reveals notes of leather, espresso, and a touch of spice behind a bold toasty tobacco core. A well-balanced offering, Bahia Gold sets the bar, and sets it high.",Full,"['Robusto', 'Rothschild', 'Torpedo']",Pennsylvania Broadleaf,Nicaraguan,False,No,More Details,Nicaragua,Yes,,"Robusto, Rothschild, Torpedo",No,Ecuador Sumatra,Bahia
186,Bahia Gold Maduro,Rated 3.75 out of 5, Based on 8 Ratings ,"Gold goes dark.It's not easy living in the shadow of a 91-rated sibling, but luckily the Bahia Gold Maduro embraces the expectations, to deliver a highly worthy follow-up to the esteemed Bahia Gold. Bringing big-league flavors and complexity to the plate, the Bahia Gold Maduro is another home-run. Utilizing the original recipe crafted by Don Douglas in the 1980's Costa Rican factory, Bahia Gold Maduro is a treat for the senses. Up front, spicy-sweet notes coat the palate, as layers of cedar, coffee, tobacco, and a toasty finish soon follow suit. Remaining exceptionally smooth and delightful throughout, the Bahia Gold Maduro is a welcomed full-bodied contender in the Bahia Gold line. ",Full,"['Robusto', 'Toro', 'Torpedo']",Sumatra,Nicaraguan,False,No,More Details,Nicaragua,Yes,,"Robusto, Toro, Torpedo",No,Connecticut Broadleaf,Bahia
187,Bahia Maduro,Rated 4.4 out of 5, Based on 521 Ratings ,"Bahia delivers while the CI Hit Squad empties both barrels in its ongoing War on High Price.Bahia Maduro is Exhibit #19,650, delivering tasty handmades at prices that can best be described as recklessly low. Bahia Maduro is the one that put Bahia on the map some years ago: an all Nicaraguan-blend of aged Cuban-seed tobaccos secured in a 3-year old Habano binder from Nicaragua and cloaked in a dark and oily Connecticut Broadleaf wrapper. Expect thick plumes of heavy flavor as this medium-bodied Bahia dishes out a rich tobacco core complemented by notes of coffee bean and earth. Price seals the deal: 20 handmades, heavily discounted. Your choice of three chunky sizes. ",Medium,"['Churchill', 'Robusto', 'Torpedo']",Habano,Nicaraguan,False,No,More Details,Nicaragua,No,,"Churchill, Robusto, Torpedo",No,Connecticut Broadleaf,Bahia
188,Bahia Trinidad,Rated 4.24 out of 5, Based on 119 Ratings ,"CI S-CHIP Buster #2,481.One could view Bahia Trinidad as not merely a cigar but an indispensable weapon in the war on high cigar prices. Oh yes, that just happened. CI prices on this nice little handmade will transport you to a time when, pre-SCHIP taxes, there was a quaint notion of cigars actually being affordable. Well, click the heels of your ruby slippers gents because we’re back in Kansas and these cigars are practically chump change! Here’s a Nicaraguan puro crafted with a dark and oily Nicaraguan Criollo wrapper cultivated 2 years ago, optimally fermented and then tucked away for a cedar-nap ever since. Combined with this wrapper is a blend of 4-year-old Nicaraguan long-leaf tobaccos grown from Cuban seeds in Esteli and Condega. The end result is an aromatic, medium-bodied mix with mingling notes of cedar, cinnamon, and sweet tobacco flavors. Actually the real end result is a toothy grin on your haggard face after you realize all this cost you peanuts.",Medium,"['Churchill', 'Robusto', 'Torpedo']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,"Churchill, Robusto, Torpedo",No,Criollo,Bahia
189,Balmoral Anejo XO,Rated 5 out of 5, Based on 2 Ratings ,"Perfect boutiques from San PedroBalmoral cigars may be new on the scene, but they were born from a ton of experience. The creation of Royal Agio’s 4th generation CEO, it’s safe to say that these cigars come from a long and storied history of working with premium tobaccos. Handrolled in their boutique factory, San Pedro de Macoris in the Dominican Republic, every Balmoral cigar promises to offer a unique and balanced profile unlike anything you’ve experienced before. For the Balmoral Anejo XO, they’ve selected a sun-grown Brazilian Arapiraca wrapped leaf aged for an average of 10 years. Underneath the wrapper, you’ll find a Dominican Olor binder along with Dominican and Nicaraguan long-fillers and an exclusive Stalk-Cut Brazilian Mata Norte leaf. The results are delicious, delivering complex notes of cedar, cocoa and spice with a smooth and sweet finish.",,"['Corona', 'Lancero', 'Robusto', 'Short Robusto', 'Toro', 'Torpedo']",Dominican,"Brazilian, Dominican, Nicaraguan",False,No,More Details,Dominican Republic,Varies,,"Corona, Lancero, Robusto, Short Robusto, Toro, Torpedo",Varies,Brazilian,Royal Agio Cigars
190,Balmoral Anejo XO Connecticut,Rated 4.83 out of 5, Based on 6 Ratings ,"XO goes to ConnecticutSince they began their revolution in the industry, Balmoral cigars have been an absolute success. Each one of their blends delivers a load of complex, unique flavors and they’ve all been racking up awards across countless publications. So when they told me they were developing a Connecitcut blend, I was more than enthused. Today, we welcome their newest achievement: Balmoral Anejo XO Connecticut. Crowned with a shade-grown wrapper from the Connecticut River Valley, these Dominican handmades provide a luxuriously creamy experience. Underneath the genuine US wrapper leaf, an Ecuador Sumatra binder leaf encases Dominican Olor and Pennsylvania long-fillers plus the exclusive, stalk-cut Brazilian Mata Norte leaf that made the original XO so popular. Lighting it up, you’ll find a mixture of vanilla and toasted caramel notes with hints of white pepper. Good news! Balmoral Anejo XO Connecticut has received a 92-point rating, noting: ""Topped with a fantail cap, this short blond robusto draws perfectly, imparting a cedary, nutty smoke that also shows notes of coffee bean, vanilla and earth.""",Mellow-Medium,[],Sumatra,"Brazilian, Dominican, United States",False,No,More Details,Dominican Republic,No,,,No,Connecticut,Royal Agio Cigars
191,Balmoral Anejo XO Nicaragua,Rated 5 out of 5,,"A new Nicaraguan, aged to perfection.Balmoral is a name you might not be too familiar with (yet), but the world certainly knows about their parent company Royal Agio. Agio has been making cigars in Europe since 1904 in their factories located in Sri Lanka, the Dominican Republic, Belgium, and the Netherlands, but only recently have premium, long-filler cigars come out of the Dominican factory bearing the name Balmoral. So far every one of their releases has been right on the money, and no holds were barred in the production of their first cigar ever to wear a Nicaraguan wrapper.Underneath the rich Nicaraguan Habano wrapper lies a Cuban-seed Brazilian binder and one of the most unique filler blends we’ve ever seen. The finest, aged Dominican Olor and Nicaraguan Esteli leaves are mixed with Balmoral’s stalk-cut Brazilian Mata Norte, the special leaf responsible for most of the amazing flavors you get from Agio’s premium brand. It took Royal Agio quite some time to perfect this medium-full bodied blend, but when the rich earth and espresso flavors hit your palate, their refusal to compromise becomes immediately evident. Grab a box of Balmoral Anejo XO Nicaragua, and taste the top 5% of tobacco quality. ",Medium-Full,"['Corona Extra', 'Gran Rothschild', 'Short Robusto', 'Toro', 'Torpedo']",Brazil,"Brazilian, Dominican, Nicaraguan",False,False,More Details,Dominican Republic,No,,"Corona Extra, Gran Rothschild, Short Robusto, Toro, Torpedo",No,Nicaraguan,Royal Agio Cigars
192,Balmoral Anejo XO Oscuro,Rated 5 out of 5,,"Go all in on XOBalmoral Anejo has a simple mission statement: use the top 5% of select, premium tobaccos available and deliver meticulously crafted, sophisticated cigars. Sounds simple, right? Well, when you’re a 4th generation CEO of a large tobacco company, and own your own boutique factory in the Dominican Republic, it’s certainly attainable. But don’t take my word for it: the proof is in the pudding. And each Balmoral release that hits the shelves keeps flying off and receiving tons of industry praise.Today, I’m taking a look at the fullest-bodied blend in the Balmoral profile, the Anejo XO Oscuro. Crowned with a Sun-Grown, Stalk-Cut Mexican San Andres wrapper leaf, the Anejo XO Oscuro also features a Dominican Olor binder overtop Dominican, Nicaraguan, and stalk-cut Brazilian Mata Norte long-fillers. The result is a complex blend of dark chocolate, espresso and black pepper with a smooth, sweet finish. ",Medium-Full,[],Dominican,"Brazilian, Dominican, Nicaraguan",False,No,More Details,Dominican Republic,No,,,No,Dominican,Royal Agio Cigars
193,Balmoral Serie Signaturas Dueto,Rated 5 out of 5, Based on 1 Rating ,"The perfect “duet”oThe Serie Signaturas is the newest innovation from Balmoral cigars, and it’s certainly starting off on the right foot. Designed as a collaboration-based platform to help shine a spotlight on exciting new cigar blends, the first Balmoral Serie Signaturas is a collaboration between Boris Wintermans and the man, the myth, the legend: Ernesto Perez-Carillo. Dueto is the first release from Balmoral not rolled at the boutique San Pedro factory in the Dominican Republic. Instead, it’s rolled by hand at Tabacalera La Alianza (the winners of the #1 Cigar of the Year award in 2018). Featuring a stunning Nicaraguan leaf overtop Nicaraguan and Brazilian long-fillers, Dueto delivers a medium-bodied profile starring notes of roasted nuts, slight sweetness, and a rich earthiness that’ll keep you coming back for more.",Medium-Full,"['Churchill', 'Figurado', 'Gordo', 'Robusto', 'Toro']",Nicaraguan,"Brazilian, Nicaraguan",False,No,More Details,Dominican Republic,No,,"Churchill, Figurado, Gordo, Robusto, Toro",No,Nicaraguan,Royal Agio Cigars
194,Balmoral Serie Signaturas Paso Doble,Rated 5 out of 5,,"The flower of collaboration.Balmoral is making their rounds. The relatively new boutique brand has established themselves as an excellent independent producer, and the EP Carillo-made Dueto proved their skill when it comes to playing nice with the competitors. Now Balmoral is back with their second collaboration cigar, and they went in with a company that has never made anything but their own cigars up until now. That company is LFD, and that cigar is the Balmoral Serie Signaturas Paso Doble.The Paso Doble comes equipped with with a creamy Ecuador Habano wrapper concealing a Dominican binder and Dominican fillers from Litto Gomez’s legendary farms in the Dominican. The exquisite, full-bodied notes of nuts, oak, pepper, and earth in this gem are a result of Litto and Boris Winterman bringing all of their best leaves and their combined wealth of knowledge to the blending table, and the excellent construction is all thanks to their meticulous quality control. Add a box to your cart today, and don’t miss out on one of the greatest collaborations in the history of tobacco. ",Full,"['Double Corona', 'Double Toro', 'Robusto Extra']",Connecticut Broadleaf,Dominican,False,,More Details,Dominican Republic,No,,"Double Corona, Double Toro, Robusto Extra",No,Ecuador Habano,Royal Agio Cigars
195,Bandidos,Rated 4.58 out of 5, Based on 641 Ratings ,"Mellow n’ sweet.Bandidos are not long on looks. But these rough little sons of a gun are super tasty, offering a crisp tobacco flavor and oh-so-gentle draw. In fact, these cheroots are made entirely by hand, crafted without binders. Torcedors simply bunch the fillers and apply a dark Sumatra wrapper.  The tips have been sweetened to provide a delicious, sweet and smooth taste. And the price! Indeed the price! These quality handmades even beat out its machine-made counterparts. So pick up a “bale” or two today and save mightily while enjoying delicious cheroots you can chaw on all day long.GREAT NEWS! Bandidos finally spawned a sequel and it's every bit as delicious as the original. Try the new Bandidos Black here.",Mellow,['Cigarillos'],,Honduran,False,No,More Details,Honduras,No,,Cigarillos,Yes,Sumatra,
196,Bandidos Black,Rated 4.09 out of 5, Based on 98 Ratings ,"Dark n’ rich. Bandidos. A humble bundle of smooth n’ sweet cigarillos that’s become one of our absolute best-sellers in a matter of a few years. No lie. They may not be the prettiest on the eyes, but they’re damn tasty and insanely enjoyable to burn through… why else would guys come into our Bethlehem, PA store and buy these by the literal armful? Today, we’ve got a brand new addition to the Bandidos profile, the first sequel to this monstrous success story. Welcome, Bandidos Black. Handmade in the same style as the original Bandidos, the Black is a darker, richer version of the cigar that’s just as delicious as the first. Wrapped in an Olancho leaf with a slightly sweetened tip, you’ll find plenty to love with this new edition. Just be warned — if this thing is even half as popular as the first Bandidos then an insane mob is forming, ready to pillage our warehouse of all of our inventory right about… now. ",Medium,['Cigarillos'],,,False,No,More Details,Honduras,No,,Cigarillos,Yes,Maduro,
197,Belstaff Bond,Rated 4.57 out of 5, Based on 7 Ratings ,"With nearly 100 years of history, Belstaff is known worldwide for its unique style and products. In 2016, Belstaff released its first cigar brand with a flagship blend that’s bold, rich, and creamy. Handcrafted in the Dominican Republic’s most prestigious factory – the home of Macanudo, Cohiba, and more – Belstaff Bond employs a delicious blend of aged long-fillers finished with a dark, sultry Ecuadorian wrapper. The result is a blend that’s spicy, with notes of nuts, wood, pepper, sweet cream, and more. In short, this one will satisfy even the most discerning palate. ",Medium-Full,"['Robusto', 'Toro']",Nicaraguan,"Brazilian, Dominican, Mexican",False,No,More Details,Dominican Republic,No,,"Robusto, Toro",No,Ecuador Sumatra,Bugatti Cigars
198,BG Meyer Gigantes,Rated 4.7 out of 5, Based on 27 Ratings ,"Big personality, BG Meyer Gigantes.Running amuck in the industry the past couple years, the Board of the Bold (Mike Ditka, Matt Booth, and Rob Weiss) have dished out a gaggle of top-tiered blends. This powerhouse conglomerate prides themselves on delivering cigars of the utmost intensity and character, and the newest release from Rob Weiss’ BG Meyer line is as intense as they come. Crafted to pay homage to the pioneers of bold character, people who dared to speak their minds when no one else would, has a character of its own that can easily go toe to toe with the strongest personalities on the planet.Packing a combined age of over 20 years, the tobaccos utilized in this masterpiece are as refined as they come. Gigantes features a dark chocolate-colored, oily Nicaraguan Habano wrapper leaf cultivated in 2007. Underneath, this concoction boasts a Brazilian Mata Fina binder aged for a minimum of 6 years which hugs vintage Nicaraguan and Dominican long-fillers also with at least 6 years of aged behind them. Medium to full-bodied, bold notes of black pepper, licorice, and a lingering sweet spice are all noticeable with a hint of leather sneaking in on the back of the palate. Make time for this blend because it is sure to grab your full attention.BG Meyer Gigantes received a well-deserved 90-rating noting: ""Packed solid with tobacco, this Churchill has a firm draw but delivers plenty of sugary sweet notes that range from malted chocolate to toasted almonds. It's balanced by notes of black pepper and oak.""​",Medium-Full,"['Gordo', 'Robusto', 'Short Robusto']",Brazil,"Dominican, Nicaraguan",False,No,More Details,Honduras,No,,"Gordo, Robusto, Short Robusto",No,Nicaraguan,Camacho
199,Big Johnny by Island Jim,Rated 4.73 out of 5,,"Get big! The Leaf by Oscar brand has been sweeping the nation for the last few years, with cigar fanatics lining up around the block to get their hands on these uniquely packaged gems. Today, we welcome a new, insane cigar from the Leaf by Oscar crew – the Big Johnny by Island Jim. Just be warned: this cigar is BIG. Crafted in one size, a massize 8”x66 jawbreaker, the Big Johnny is gonna get your through at least one and a half football games, or a long afternoon of downing longnecks and grilling. In all seriousness, this mammoth stick will easily last you at least two-hours, and it’ll keep you entranced the whole time. Big Johnny delivers loads of dark tobacco, chocolate, cocoa, and naturally sweet notes, proving that even big cigars can be super complex. ",Medium,['Gordo'],Honduran,Honduran,False,No,More Details,Honduras,No,,Gordo,No,Nicaraguan Jalapa,
200,Big Papi by David Ortiz,Rated 5 out of 5, Based on 1 Rating ,"Hey slugger, take a swing at this Any baseball fan knows the name David Ortiz – a Dominican Republic native that made a living 4-bagging balls out of the park in Boston and became well known as “Big Papi”. Heading into retirement, Ortiz decided to step up to the plate in the cigar industry. Teaming up with Tabacalera El Artista, creators of the 91-rated Exactus brand, they constructed a cigar to match Big Papi’s performance – one bound for the hall of fame. First crafted in 2013 for personal enjoyment and charity events, the Big Papi received great reviews and was taken commercial in 2016. Now for the good stuff.Right off the bat, the presentation is pleasing – a sleek red and white box that matches the band, showcasing a silhouette of Ortiz pointing to the heavens, and a red fabric foot band to top it off. Pop the box open and there it is – an oily Ecuador Habano Claro Wrapper rolled to perfection over a Dominican Criollo ’98 binder and packed with Dominican and Nicaraguan fillers. Pleasant notes of pepper and chestnut will first grace your palate, thanks to the Ecuador Habano wrapper, followed by a touch of cream, and brought all together with rich notes of earth and leather. This medium-bodied premium from David Ortiz isn’t your ordinary celebrity cigar, this thing is a home run.",Medium,['Toro'],Criollo '98,"Dominican, Nicaraguan",False,No,More Details,Dominican Republic,No,,Toro,No,Ecuador Habano,
201,Black & Mild,Rated 4.82 out of 5, Based on 91 Ratings ,"Middleton's Black and Mild cigars are for sure one of the top-selling and sought after brands on the market. Why you ask? These delightful cigarillos are fitted with a comfortable plastic or wood tip for a consistent and dependable draw. Using broad-cut black Cavendish with Burley and golden Virginia tobaccos, Middleton offers a full-flavored, sweet taste with a pleasant aroma. Not to mention the Black & Mild cigars price is oh so affordable.When you’re looking for a quick and tasty yet cheap cigar Black and Milds are a bargain for your buck. These smooth and mellow machine-made treats offer a mouthwatering experience for any pipe enthusiast or flavor premium connoisseur. Don’t stop at just the regular Black and Mild cigars, with the Black and Mild cigars price, try all of the insanely good flavors including Black and Mild Cherry, Jazz, Gold & Mild and Casino. Buy any pack of Black & Milds and enjoy.",Mellow,['Cigarillos'],,,True,No,More Details,United States,No,,Cigarillos,Yes,Indonesian,
202,Blackstone Cigars,Rated 4.93 out of 5, Based on 73 Ratings ,"Swisher’s black sheep! Composed entirely of premium pipe tobaccos, Blackstone is one of the best quick cigars for those seeking a little indulgence on their lunch break or drive home from work. Tipped for convenience, Blackstone cigars deliver a smooth, mellow, and satisfying profile from its Indonesian wrapper. Made right here in the USA, one taste of these cigars will quickly point you towards why they sell so well year in and year out.",Mellow,['Cigarillos'],,,False,No,More Details,United States,No,,Cigarillos,No,Indonesian,
203,Blood Red Moon,Rated 4.11 out of 5, Based on 136 Ratings ,"​Time to get mooned.Blood Red Moon is definitely one of the most fascinating little cigars to come across my desk in quite a while. Weighing in between 4.7""x42 and 5.5""x54 and coming in your choice of 3 wrapper varieties, these little guys pack a lot of rich, smooth and highly enjoyable flavor into a petite frame. Handcrafted in the small-batch, well-respected TACASA factory in Nicaragua, these sticks are complex and slow burning, and there's a lot more to Blood Red Moon than a catchy name. Because if astronomy class taught me anything, it's that some of the greatest discoveries are the smallest in size.Connecticut: Subtle and smooth, with flavors of cream, earth, wood, and leather.Habano: Medium-bodied with notes of spice, cedar, and pepper.Maduro: Medium to full-bodied with nuances of smooth cream, subtle spice, chocolate, and coffeeNOTE: Each Culebra contains one cigar of every wrapper. So, a ""Pack of 6"" Culebras is technically 18 total cigars - 6 Connecticut, 6 Habano, 6 Maduro. ",Medium,"['Perfecto', 'Petite Corona', 'Robusto']",Nicaraguan,Nicaraguan,False,No,More Details,Nicaragua,No,,"Perfecto, Petite Corona, Robusto",No,"Connecticut, Ecuador Habano, Habano Maduro",Cult
204,Blue Label B2 Cuban Wheels,Rated 3.93 out of 5, Based on 85 Ratings ,"Deep discount on price, no discount on flavor!A star is born. Hailing from the hallowed halls where Gran Habano and Blue Label - among others - call home, B2 is a gem that's ripe for the taking. Here's the deal: packaging is minimalist, the blend is all substance, and all costs were focused on making a deliciously flavorful handmade at a sharp price. Eyeball these plumpin' 30-count wheels lustily - the salivary glands start pumping and the wallet is safely out of harm's way. B2 is as low as $49.99 for a big-boy wheel of 30 cigars. That's bang for the buck if I've ever seen it. Handcrafted in Gran Habano's Danli, Honduras factory, Blue Label's B2 employs a dark Nicaraguan-grown Habano leaf overtop a complex blend of aged Nicaraguan and Panamanian tobaccos. Medium to full-bodied, B2 is brimming with dense, hearty flavors and complexity. Notes of earth, coffee and leather coat the palate while sweet and peppery nuances round out the mix. Satisfying and delicious, B2 is a thing of beauty that answers the bell when you need Cadillac flavor at Yugo prices.",Medium-Full,"['Churchill', 'Gordo', 'Robusto', 'Torpedo']",,"Nicaraguan, Panamanian",False,No,More Details,Honduras,No,,"Churchill, Gordo, Robusto, Torpedo",No,Habano,
